2,Recursivo,18567909768200,18567909772700,4500,19
2,Iterativo,18569519624300,18569519640700,16400,19
2,Recursivo,100434967576200,100434967580200,4000,21
2,Iterativo,100436723510400,100436723522700,12300,21
888,Recursivo,100553905066300,100553905193400,127100,9349
888,Iterativo,100555313250700,100555313263700,13000,9349
20000,Iterativo,100575907527700,100575907863400,335700,209068
788,Recursivo,100596787133700,100596787144300,10600,8262
788,Iterativo,100597993114900,100597993131600,16700,8262
1234,Recursivo,100606164839700,100606164861500,21800,13060
1234,Iterativo,100608127117800,100608127144600,26800,13060
12345,Recursivo,100627459051900,100627459291800,239900,130458
12345,Iterativo,100628887075800,100628887246500,170700,130458
123456,Iterativo,100646298970500,100646299979700,1009200,1293860
9876,Recursivo,100662428982000,100662429154400,172400,104014
9876,Iterativo,100663595955000,100663596091900,136900,104014
999,Recursivo,49544739191000,49544739330000,139000,10577
999,Iterativo,49546246883600,49546246908600,25000,10577
